Ime;Japonsko ime;Klasifikacija;Napad;Obramba;Višina (m);Masa (kg);HP;Hitrost;Tip 1;Tip 2;Generacija;Legendaren
Bulbasaur;Fushigidaneフシギダネ;Seed Pokémon;49;49;0,7;6,9;45;45;grass;poison;1;0
Ivysaur;Fushigisouフシギソウ;Seed Pokémon;62;63;1,0;13,0;60;60;grass;poison;1;0
Venusaur;Fushigibanaフシギバナ;Seed Pokémon;100;123;2,0;100,0;80;80;grass;poison;1;0
Charmander;Hitokageヒトカゲ;Lizard Pokémon;52;43;0,6;8,5;39;65;fire;;1;0
Charmeleon;Lizardoリザード;Flame Pokémon;64;58;1,1;19,0;58;80;fire;;1;0
Charizard;Lizardonリザードン;Flame Pokémon;104;78;1,7;90,5;78;100;fire;flying;1;0
Squirtle;Zenigameゼニガメ;Tiny Turtle Pokémon;48;65;0,5;9,0;44;43;water;;1;0
Wartortle;Kameilカメール;Turtle Pokémon;63;80;1,0;22,5;59;58;water;;1;0
Blastoise;Kamexカメックス;Shellfish Pokémon;103;120;1,6;85,5;79;78;water;;1;0
Caterpie;Caterpieキャタピー;Worm Pokémon;30;35;0,3;2,9;45;45;bug;;1;0
Metapod;Transelトランセル;Cocoon Pokémon;20;55;0,7;9,9;50;30;bug;;1;0
Butterfree;Butterfreeバタフリー;Butterfly Pokémon;45;50;1,1;32,0;60;70;bug;flying;1;0
Weedle;Beedleビードル;Hairy Pokémon;35;30;0,3;3,2;40;50;bug;poison;1;0
Kakuna;Cocoonコクーン;Cocoon Pokémon;25;50;0,6;10,0;45;35;bug;poison;1;0
Beedrill;Spearスピアー;Poison Bee Pokémon;150;40;1,0;29,5;65;145;bug;poison;1;0
Pidgey;Poppoポッポ;Tiny Bird Pokémon;45;40;0,3;1,8;40;56;normal;flying;1;0
Pidgeotto;Pigeonピジョン;Bird Pokémon;60;55;1,1;30,0;63;71;normal;flying;1;0
Pidgeot;Pigeotピジョット;Bird Pokémon;80;80;1,5;39,5;83;121;normal;flying;1;0
Rattata;Korattaコラッタ;Mouse Pokémon;56;35;;;30;72;normal;dark;1;0
Raticate;Rattaラッタ;Mouse Pokémon;71;70;;;75;77;normal;dark;1;0
Spearow;Onisuzumeオニスズメ;Tiny Bird Pokémon;60;30;0,3;2,0;40;70;normal;flying;1;0
Fearow;Onidrillオニドリル;Beak Pokémon;90;65;1,2;38,0;65;100;normal;flying;1;0
Ekans;Arboアーボ;Snake Pokémon;60;44;2,0;6,9;35;55;poison;;1;0
Arbok;Arbokアーボック;Cobra Pokémon;95;69;3,5;65,0;60;80;poison;;1;0
Pikachu;Pikachuピカチュウ;Mouse Pokémon;55;40;0,4;6,0;35;90;electric;;1;0
Raichu;Raichuライチュウ;Mouse Pokémon;85;50;;;60;110;electric;electric;1;0
Sandshrew;Sandサンド;Mouse Pokémon;75;90;;;50;40;ground;ice;1;0
Sandslash;Sandpanサンドパン;Mouse Pokémon;100;120;;;75;65;ground;ice;1;0
Nidoran♀;Nidoran?ニドラン♀;Poison Pin Pokémon;47;52;0,4;7,0;55;41;poison;;1;0
Nidorina;Nidorinaニドリーナ;Poison Pin Pokémon;62;67;0,8;20,0;70;56;poison;;1;0
Nidoqueen;Nidoqueenニドクイン;Drill Pokémon;92;87;1,3;60,0;90;76;poison;ground;1;0
Nidoran♂;Nidoran?ニドラン♂;Poison Pin Pokémon;57;40;0,5;9,0;46;50;poison;;1;0
Nidorino;Nidorinoニドリーノ;Poison Pin Pokémon;72;57;0,9;19,5;61;65;poison;;1;0
Nidoking;Nidokingニドキング;Drill Pokémon;102;77;1,4;62,0;81;85;poison;ground;1;0
Clefairy;Pippiピッピ;Fairy Pokémon;45;48;0,6;7,5;70;35;fairy;;1;0
Clefable;Pixyピクシー;Fairy Pokémon;70;73;1,3;40,0;95;60;fairy;;1;0
Vulpix;Rokonロコン;Fox Pokémon;41;40;;;38;65;fire;ice;1;0
Ninetales;Kyukonキュウコン;Fox Pokémon;67;75;;;73;109;fire;ice;1;0
Jigglypuff;Purinプリン;Balloon Pokémon;45;20;0,5;5,5;115;20;normal;fairy;1;0
Wigglytuff;Pukurinプクリン;Balloon Pokémon;70;45;1,0;12,0;140;45;normal;fairy;1;0
Zubat;Zubatズバット;Bat Pokémon;45;35;0,8;7,5;40;55;poison;flying;1;0
Golbat;Golbatゴルバット;Bat Pokémon;80;70;1,6;55,0;75;90;poison;flying;1;0
Oddish;Nazonokusaナゾノクサ;Weed Pokémon;50;55;0,5;5,4;45;30;grass;poison;1;0
Gloom;Kusaihanaクサイハナ;Weed Pokémon;65;70;0,8;8,6;60;40;grass;poison;1;0
Vileplume;Ruffresiaラフレシア;Flower Pokémon;80;85;1,2;18,6;75;50;grass;poison;1;0
Paras;Parasパラス;Mushroom Pokémon;70;55;0,3;5,4;35;25;bug;grass;1;0
Parasect;Parasectパラセクト;Mushroom Pokémon;95;80;1,0;29,5;60;30;bug;grass;1;0
Venonat;Kongpangコンパン;Insect Pokémon;55;50;1,0;30,0;60;45;bug;poison;1;0
Venomoth;Morphonモルフォン;Poison Moth Pokémon;65;60;1,5;12,5;70;90;bug;poison;1;0
Diglett;Digdaディグダ;Mole Pokémon;55;30;;;10;90;ground;ground;1;0
Dugtrio;Dugtrioダグトリオ;Mole Pokémon;100;60;;;35;110;ground;ground;1;0
Meowth;Nyarthニャース;Scratch Cat Pokémon;35;35;;;40;90;normal;dark;1;0
Persian;Persianペルシアン;Classy Cat Pokémon;60;60;;;65;115;normal;dark;1;0
Psyduck;Koduckコダック;Duck Pokémon;52;48;0,8;19,6;50;55;water;;1;0
Golduck;Golduckゴルダック;Duck Pokémon;82;78;1,7;76,6;80;85;water;;1;0
Mankey;Mankeyマンキー;Pig Monkey Pokémon;80;35;0,5;28,0;40;70;fighting;;1;0
Primeape;Okorizaruオコリザル;Pig Monkey Pokémon;105;60;1,0;32,0;65;95;fighting;;1;0
Growlithe;Gardieガーディ;Puppy Pokémon;70;45;0,7;19,0;55;60;fire;;1;0
Arcanine;Windieウインディ;Legendary Pokémon;110;80;1,9;155,0;90;95;fire;;1;0
Poliwag;Nyoromoニョロモ;Tadpole Pokémon;50;40;0,6;12,4;40;90;water;;1;0
Poliwhirl;Nyorozoニョロゾ;Tadpole Pokémon;65;65;1,0;20,0;65;90;water;;1;0
Poliwrath;Nyorobonニョロボン;Tadpole Pokémon;95;95;1,3;54,0;90;70;water;fighting;1;0
Abra;Caseyケーシィ;Psi Pokémon;20;15;0,9;19,5;25;90;psychic;;1;0
Kadabra;Yungererユンゲラー;Psi Pokémon;35;30;1,3;56,5;40;105;psychic;;1;0
Alakazam;Foodinフーディン;Psi Pokémon;50;65;1,5;48,0;55;150;psychic;;1;0
Machop;Wanrikyワンリキー;Superpower Pokémon;80;50;0,8;19,5;70;35;fighting;;1;0
Machoke;Gorikyゴーリキー;Superpower Pokémon;100;70;1,5;70,5;80;45;fighting;;1;0
Machamp;Kairikyカイリキー;Superpower Pokémon;130;80;1,6;130,0;90;55;fighting;;1;0
Bellsprout;Madatsubomiマダツボミ;Flower Pokémon;75;35;0,7;4,0;50;40;grass;poison;1;0
Weepinbell;Utsudonウツドン;Flycatcher Pokémon;90;50;1,0;6,4;65;55;grass;poison;1;0
Victreebel;Utsubotウツボット;Flycatcher Pokémon;105;65;1,7;15,5;80;70;grass;poison;1;0
Tentacool;Menokurageメノクラゲ;Jellyfish Pokémon;40;35;0,9;45,5;40;70;water;poison;1;0
Tentacruel;Dokukurageドククラゲ;Jellyfish Pokémon;70;65;1,6;55,0;80;100;water;poison;1;0
Geodude;Isitsubuteイシツブテ;Rock Pokémon;80;100;;;40;20;rock;ground;1;0
Graveler;Goloneゴローン;Rock Pokémon;95;115;;;55;35;rock;ground;1;0
Golem;Golonyaゴローニャ;Megaton Pokémon;120;130;;;80;45;rock;ground;1;0
Ponyta;Ponytaポニータ;Fire Horse Pokémon;85;55;1,0;30,0;50;90;fire;;1;0
Rapidash;Gallopギャロップ;Fire Horse Pokémon;100;70;1,7;95,0;65;105;fire;;1;0
Slowpoke;Yadonヤドン;Dopey Pokémon;65;65;1,2;36,0;90;15;water;psychic;1;0
Slowbro;Yadoranヤドラン;Hermit Crab Pokémon;75;180;1,6;78,5;95;30;water;psychic;1;0
Magnemite;Coilコイル;Magnet Pokémon;35;70;0,3;6,0;25;45;electric;steel;1;0
Magneton;Rarecoilレアコイル;Magnet Pokémon;60;95;1,0;60,0;50;70;electric;steel;1;0
